TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BPRP11;96,00;0,900000;11,17;109,15;0,88;2.259,75;0,09;4,76;-7,92;147.329.458,30;174,00;Passiva;1.349.837,00
BRCO11;126,96;0,870000;7,28;121,13;1,05;3.369.208,38;4,42;8,91;-0,61;1.790.199.937,84;116.336,00;Ativa;14.778.781,00
BRCR11;62,43;0,410000;8,83;99,91;0,62;1.871.627,97;0,67;-0,82;-11,58;2.661.291.864,16;155.986,00;Ativa;26.638.202,00
BREV11;105,00;0,580000;7,73;117,73;0,89;192.462,94;3,25;8,81;;113.864.559,59;332,00;Ativa;967.201,00
BRHT11B;86,80;;0,00;71,27;1,22;;16,52;;;131.259.862,94;11,00;Ativa;1.841.677,00
BRIM11;1.030,22;28,910000;17,23;1.121,86;0,92;;4,02;;;139.264.314,34;222,00;Ativa;124.137,00
BRIP11;951,00;6,030000;12,86;1.170,97;0,81;951,00;1,13;;;252.314.860,96;253,00;Ativa;215.475,00
BRIX11;0,00;;0,00;1.022,03;;;6,92;;;100.154.419,41;54,00;Ativa;97.996,00
BRLA11;146,80;0,816167;8,82;156,45;0,94;195.863,33;0,32;;;499.636.525,75;274,00;Passiva;3.193.571,00
BROF11;66,90;0,540000;4,44;106,25;0,63;919.112,97;0,37;;;1.233.654.056,25;7.540,00;Ativa;11.610.812,00
BROL11;0,00;;0,00;;;;;;;;;;5.500.000,00
BRSE11;0,00;;0,00;2.755,43;;;202,61;;;5.510.860,87;12,00;Ativa;2.000,00
BTAL11;86,86;0,710000;10,98;104,49;0,83;888.166,70;2,65;;;625.113.320,30;45.447,00;Ativa;5.982.736,00
BTCI11;9,85;0,101000;12,57;10,29;0,96;2.277.334,57;10,71;10,27;-53,86;1.024.192.221,83;110.543,00;Ativa;99.521.172,00
